uploader_id,channel,channel_id,channel_follower_count,creator,artist,title,thumbnail,id,duration,duration_string,view_count,like_count,comment_count,repost_count,average_rating,categories,tags,language,age_limit,live_status,was_live,availability,playlist,playlist_id,playlist_title,playlist_index,n_entries,fps,resolution,format_id,ext,vcodec,acodec,dynamic_range,aspect_ratio,filesize,tbr,vbr,abr,asr,audio_channels,extractor,extractor_key,webpage_url,original_url,webpage_url_basename,webpage_url_domain,upload_date,timestamp,release_date,release_timestamp,modified_date,license,epoch
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Wasureta (I found a list demon easier than Arctic lights) (ignore my goofy reaction),https://i.ytimg.com/vi/rDwXzvo4Q84/maxresdefault.jpg,rDwXzvo4Q84,117,1:57,5376,220,35,,,['Gaming'],"['games', 'twitch']",en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,7905865,540.225,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=rDwXzvo4Q84,https://www.youtube.com/watch?v=rDwXzvo4Q84,watch,youtube.com,20230406,1680794737,,,,,1785167449
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,(TOP 1) (verifying) Kingdom of miracles 58-100,https://i.ytimg.com/vi/JCatrWrfeTg/maxresdefault.jpg,JCatrWrfeTg,107,1:47,61190,1679,104,,,['Gaming'],[],,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,716.836,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=JCatrWrfeTg,https://www.youtube.com/watch?v=JCatrWrfeTg,watch,youtube.com,20230401,1680362960,,,,,1785167451
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Trueffet 100%  (Based demon),https://i.ytimg.com/vi/BZT1lDSnmcU/maxresdefault.jpg,BZT1lDSnmcU,112,1:52,5638,238,44,,,['Gaming'],"['games', 'twitch']",en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,8128214,580.281,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=BZT1lDSnmcU,https://www.youtube.com/watch?v=BZT1lDSnmcU,watch,youtube.com,20230329,1680129549,,,,,1785167453
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Superhatemeworld 100%,https://i.ytimg.com/vi/0TrT-zOvd5Y/maxresdefault.jpg,0TrT-zOvd5Y,150,2:30,5736,259,61,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,583.555,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=0TrT-zOvd5Y,https://www.youtube.com/watch?v=0TrT-zOvd5Y,watch,youtube.com,20230325,1679772914,,,,,1785167455
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Cosmic cyclone 100%,https://i.ytimg.com/vi/Ws-yLXhj4BE/sddefault.jpg,Ws-yLXhj4BE,276,4:36,2952,148,36,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,659.685,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=Ws-yLXhj4BE,https://www.youtube.com/watch?v=Ws-yLXhj4BE,watch,youtube.com,20230323,1679534788,,,,,1785167457
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Launchpad labyrinth 100%,https://i.ytimg.com/vi/H--suO5ChVg/maxresdefault.jpg,H--suO5ChVg,253,4:13,7143,242,37,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,548.042,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=H--suO5ChVg,https://www.youtube.com/watch?v=H--suO5ChVg,watch,youtube.com,20230318,1679164154,,,,,1785167459
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Omega interface 100%,https://i.ytimg.com/vi/XcCqhMy1W7Q/maxresdefault.jpg,XcCqhMy1W7Q,171,2:51,2013,99,24,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,694.095,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=XcCqhMy1W7Q,https://www.youtube.com/watch?v=XcCqhMy1W7Q,watch,youtube.com,20230314,1678757691,,,,,1785167460
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Kappa 100%,https://i.ytimg.com/vi/4n7CoXaL-t4/maxresdefault.jpg,4n7CoXaL-t4,262,4:22,2008,103,31,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,678.389,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=4n7CoXaL-t4,https://www.youtube.com/watch?v=4n7CoXaL-t4,watch,youtube.com,20230311,1678568376,,,,,1785167462
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,qoUEO 100%,https://i.ytimg.com/vi/VWNgRY6EbIQ/maxresdefault.jpg,VWNgRY6EbIQ,126,2:06,3607,175,42,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,608.048,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=VWNgRY6EbIQ,https://www.youtube.com/watch?v=VWNgRY6EbIQ,watch,youtube.com,20230310,1678416867,,,,,1785167464
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Thinking space 100%,https://i.ytimg.com/vi/CPW2ts9mQsM/sddefault.jpg,CPW2ts9mQsM,131,2:11,9219,358,65,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,9387609,574.992,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=CPW2ts9mQsM,https://www.youtube.com/watch?v=CPW2ts9mQsM,watch,youtube.com,20230306,1678145113,,,,,1785167466
